Number,Age,Male,City,Country,Area Income
183,31.0,1.0,Joneston,China,38349.78
184,,0.0,New Jeffreychester,Bouvet Island (Bouvetoya),63115.34
185,38.0,0.0,East Stephen,,31343.39
187,60.0,0.0,Youngfort,Peru,36752.24
188,41.0,1.0,Ingramberg,Mayotte,65044.59
189,29.0,0.0,South Denisefurt,Samoa,53673.08
190,,0.0,Port Melissaberg,Singapore,43444.86
191,57.0,1.0,Bernardton,Jamaica,44248.52
192,31.0,1.0,Port Mathew,Bahamas,62572.88
193,30.0,,,Canada,39840.55
194,36.0,0.0,Josephstad,Algeria,32593.59
195,30.0,0.0,West Ericfurt,Fiji,41629.86
196,35.0,,New Brendafurt,Kenya,43313.73
197,49.0,1.0,Port Julie,Argentina,42993.48
198,53.0,1.0,South Tiffanyton,Bouvet Island (Bouvetoya),46004.31
199,33.0,1.0,North Elizabeth,,49325.48
200,32.0,0.0,Kentmouth,Senegal,51633.34
201,45.0,1.0,West Casey,Suriname,63363.04
202,,1.0,East Henry,Liberia,64045.93
203,31.0,1.0,Hollyfurt,Guam,73049.3
204,27.0,,North Anna,United Arab Emirates,66624.6
205,40.0,0.0,Port Destiny,Antigua and Barbuda,77567.85
206,29.0,1.0,Ianmouth,Argentina,53431.35
207,40.0,1.0,North Johntown,Georgia,31265.75
208,31.0,1.0,Hannahside,Jordan,74780.74
209,29.0,0.0,Wilsonburgh,Saudi Arabia,70410.11
210,29.0,0.0,North Russellborough,South Africa,37345.24
211,28.0,0.0,Murphymouth,Croatia,66107.84
212,30.0,1.0,Carterburgh,Fiji,62336.39
213,58.0,0.0,Penatown,Australia,39132.64
214,38.0,1.0,,Sao Tome and Principe,38745.29
215,28.0,,East Paul,Fiji,65172.22
216,38.0,0.0,Hartmanchester,Cyprus,68519.96
217,27.0,1.0,Mcdonaldfort,Kyrgyz Republic,54774.77
218,43.0,1.0,,Pakistan,76246.96
219,,0.0,Taylorberg,Seychelles,65461.92
220,23.0,,Hansenmouth,Samoa,34127.21
221,53.0,,Bradyfurt,Bulgaria,35253.98
222,34.0,0.0,West Jessicahaven,Mauritania,44893.71
223,40.0,0.0,Davilachester,Czech Republic,59621.02
224,38.0,0.0,North Ricardotown,Chile,20856.54
225,37.0,,Melissafurt,Poland,
226,27.0,0.0,,Estonia,67516.07
227,39.0,0.0,Millerbury,Turkmenistan,68737.75
228,,,Garciaview,Latvia,76893.84
229,42.0,0.0,Townsendfurt,,59886.58
230,30.0,0.0,Williamstad,Turkey,
231,29.0,,West Connor,Kazakhstan,41356.31
232,,,West Justin,Bahrain,49942.66
233,31.0,0.0,Robertbury,Colombia,74430.08
234,23.0,,New Tinamouth,Brunei Darussalam,58633.63
235,33.0,1.0,Turnerview,Taiwan,72707.87
236,,1.0,Reneechester,Serbia,31092.93
237,38.0,0.0,West Tinashire,Saint Pierre and Miquelon,74445.18
238,28.0,0.0,Jamesfurt,Australia,49309.14
239,50.0,1.0,New Nancy,Chad,56735.14
240,45.0,1.0,Lisamouth,,40183.75
241,36.0,0.0,Harveyport,Turks and Caicos Islands,58348.41
242,30.0,0.0,Ramosstad,Finland,72209.99
243,33.0,0.0,North Kevinside,South Africa,62060.11
244,32.0,1.0,Haleview,Martinique,67113.46
245,44.0,0.0,Christinetown,Afghanistan,24030.06
246,47.0,1.0,New Michael,,56180.93
247,32.0,1.0,Jonesland,French Southern Territories,62204.93
248,30.0,,North Shannon,Philippines,60372.64
249,24.0,1.0,New Sonialand,Algeria,65280.16
250,53.0,1.0,Port Jason,San Marino,
251,45.0,1.0,East Barbara,Guernsey,59610.81
252,41.0,1.0,Port Erinberg,Sierra Leone,50278.89
253,56.0,0.0,Petersonfurt,Tajikistan,43450.11
254,25.0,0.0,New Lindaberg,,25408.21
255,36.0,,West Russell,Ecuador,71136.49
256,45.0,1.0,South Adam,,63883.81
257,33.0,1.0,North Tracyport,Moldova,64902.47
258,,1.0,Brownport,Finland,66784.81
259,48.0,0.0,Port Crystal,France,62784.85
260,28.0,0.0,Masonhaven,Venezuela,63727.5
261,32.0,0.0,Derrickhaven,Cuba,61608.23
262,38.0,1.0,Olsonstad,Peru,
263,39.0,0.0,New Brandy,Turkey,64447.77
264,31.0,0.0,,Albania,42042.95
265,28.0,0.0,,French Southern Territories,67669.06
266,35.0,0.0,Charlottefort,Papua New Guinea,54875.95
267,35.0,1.0,Lake Beckyburgh,,73347.67
268,44.0,0.0,,Thailand,50199.77
269,38.0,0.0,West Alyssa,Malaysia,
270,43.0,1.0,Lake Craigview,Mauritius,63450.96
271,26.0,0.0,Lake David,Algeria,56694.12
272,,0.0,Bruceburgh,Christmas Island,70547.16
273,26.0,1.0,South Lauratown,Japan,47391.95
274,26.0,0.0,Port Robin,Greenland,62312.23
275,53.0,1.0,Jacksonburgh,Sao Tome and Principe,63100.13
276,37.0,1.0,Erinmouth,Senegal,73687.5
277,33.0,0.0,Port Aliciabury,Guadeloupe,52686.47
278,37.0,0.0,Port Whitneyhaven,Belgium,78119.5
279,28.0,0.0,Jeffreyshire,,57014.84
280,29.0,0.0,Tinaton,Honduras,
281,35.0,0.0,North Loriburgh,Estonia,58337.18
282,32.0,1.0,Wendyton,Paraguay,
283,26.0,1.0,Lake Jacqueline,Kyrgyz Republic,53049.44
284,28.0,1.0,North Christopher,Mauritania,62927.96
285,52.0,0.0,Alexanderfurt,French Guiana,32847.53
286,24.0,,West Pamela,Northern Mariana Islands,32006.82
287,35.0,0.0,,Lebanon,48913.07
288,35.0,0.0,South Tomside,,69285.69
289,51.0,1.0,Bethburgh,American Samoa,53700.57
290,22.0,1.0,Jamiefort,Austria,52011.0
291,26.0,0.0,Garciamouth,Tonga,46339.25
292,37.0,0.0,,,67938.77
293,42.0,0.0,,,66348.95
294,24.0,0.0,Combsstad,Serbia,66873.9
295,,0.0,Lake Allenville,New Caledonia,72270.88
296,32.0,0.0,Greenechester,Taiwan,61610.05
297,39.0,1.0,Jordantown,,76560.59
298,33.0,0.0,Gravesport,Morocco,62667.51
299,36.0,1.0,South Troy,Suriname,75687.46
300,36.0,1.0,Lake Patrick,Macedonia,66744.65
301,35.0,,Millerland,Wallis and Futuna,67714.82
302,31.0,,Port Jessicamouth,Chile,69710.51
303,31.0,0.0,Paulport,Gabon,66269.49
304,25.0,1.0,Clineshire,Gabon,60843.32
305,28.0,0.0,,Holy See (Vatican City State),55041.6
306,50.0,0.0,Port Juan,Seychelles,73863.25
307,39.0,0.0,Michellefort,,62378.05
308,38.0,1.0,Port Angelamouth,Uganda,63336.85
309,43.0,0.0,Jessicahaven,Cambodia,42191.61
310,24.0,1.0,North Daniel,Antigua and Barbuda,
311,33.0,0.0,,Cameroon,61771.9
312,35.0,0.0,Amyfurt,Somalia,61383.79
314,54.0,0.0,Roberttown,Saint Pierre and Miquelon,23975.35
315,34.0,1.0,Jeremyshire,Dominica,70179.11
316,49.0,0.0,Birdshire,Hungary,66524.8
317,22.0,,New Amanda,Taiwan,41851.38
318,33.0,1.0,Curtisview,Saint Lucia,61275.18
319,41.0,0.0,Jacksonmouth,Niue,60638.38
320,39.0,0.0,North April,France,47160.53
321,21.0,0.0,,Cyprus,48537.18
322,25.0,1.0,South Corey,French Southern Territories,
323,31.0,0.0,Juliaport,Costa Rica,68614.98
324,44.0,0.0,Port Paultown,Austria,44174.25
325,34.0,0.0,East Vincentstad,,67050.16
326,37.0,0.0,,,54520.14
327,30.0,1.0,New Steve,United States of America,54952.42
328,35.0,0.0,New Johnberg,,69476.42
329,41.0,0.0,Shawstad,Belize,54989.93
330,36.0,,New Rebecca,Anguilla,
331,48.0,1.0,Jeffreyburgh,South Africa,42861.42
332,32.0,0.0,Faithview,Singapore,65883.39
333,25.0,0.0,Richardsontown,Finland,65421.39
335,,0.0,,Cameroon,58476.57
336,31.0,0.0,Port Christinemouth,,66636.84
337,49.0,1.0,South Meghan,New Caledonia,
338,34.0,1.0,Hessstad,Bosnia and Herzegovina,57260.41
339,40.0,1.0,Rhondaborough,Singapore,66359.32
340,41.0,1.0,Lewismouth,Falkland Islands (Malvinas),
341,35.0,0.0,New Paul,Bosnia and Herzegovina,63060.55
342,28.0,,Lake Angela,,59998.5
343,,1.0,East Graceland,Indonesia,74024.61
344,,0.0,Hartport,Czech Republic,60550.66
345,47.0,0.0,East Yvonnechester,Eritrea,57983.3
346,48.0,0.0,Burgessside,Mexico,
347,38.0,0.0,Hurleyborough,,
348,28.0,1.0,Garychester,Haiti,56986.73
349,26.0,1.0,East Kevinbury,Falkland Islands (Malvinas),55336.18
350,21.0,1.0,Contrerasshire,Eritrea,42162.9
351,25.0,,Erikville,,39699.13
352,52.0,1.0,Robertsonburgh,Gambia,56394.82
353,37.0,0.0,Karenton,Barbados,75044.35
354,19.0,0.0,Port Kathleenfort,Nauru,53309.61
355,28.0,,Lake Adrian,,58996.12
356,,1.0,New Sheila,El Salvador,56605.12
357,30.0,0.0,Mollyport,Libyan Arab Jamahiriya,62475.99
358,44.0,1.0,Sandraland,Cambodia,70492.6
359,,,Charlenetown,,43698.53
360,36.0,1.0,Luischester,Reunion,57737.51
361,,0.0,South Johnnymouth,Antigua and Barbuda,31281.01
362,,0.0,Hannaport,Samoa,45800.48
363,59.0,0.0,East Anthony,Afghanistan,
364,34.0,0.0,West Daleborough,Azerbaijan,66691.23
365,33.0,1.0,Morrismouth,Philippines,56369.74
366,41.0,1.0,,Angola,
367,28.0,1.0,Wrightburgh,Albania,66025.11
368,36.0,1.0,,Hungary,68211.35
369,42.0,1.0,Novaktown,Faroe Islands,73608.99
370,54.0,1.0,Timothymouth,Czech Republic,61228.96
371,29.0,1.0,Robertmouth,Svalbard & Jan Mayen Islands,72325.91
372,40.0,0.0,Stephenborough,,
373,36.0,0.0,Lake Kurtmouth,Rwanda,73207.15
374,25.0,1.0,Lauraburgh,Panama,46722.07
375,,0.0,Rogerburgh,Samoa,45400.5
376,45.0,1.0,Davidside,United States Minor Outlying Islands,41417.27
377,26.0,0.0,West Thomas,Greece,60845.55
378,47.0,0.0,Andersonchester,Cote d'Ivoire,60812.77
379,25.0,1.0,North Ronaldshire,Pakistan,64267.88
380,24.0,1.0,Greghaven,Anguilla,58151.87
381,37.0,1.0,Jordanmouth,,52079.18
382,42.0,0.0,Meyersstad,Peru,26023.99
383,31.0,0.0,Michelleside,,
384,39.0,1.0,,Chad,56216.57
385,30.0,0.0,New Tyler,Kyrgyz Republic,61806.31
386,41.0,,Jordanshire,Albania,51662.24
387,29.0,,,Gabon,
388,26.0,1.0,New Traceystad,Dominican Republic,51975.41
389,27.0,0.0,Port Brian,Zimbabwe,28019.09
390,37.0,0.0,Lake Courtney,,67744.56
391,33.0,1.0,Samuelborough,Cambodia,66574.0
392,42.0,1.0,Christinehaven,Mongolia,30487.48
393,40.0,1.0,Thomasstad,Honduras,74903.41
394,38.0,0.0,Kristintown,Madagascar,19991.72
395,36.0,1.0,New Wanda,Qatar,66050.63
396,44.0,0.0,Mariebury,China,70449.04
397,28.0,1.0,Christopherville,Bangladesh,64008.55
398,,0.0,New Jasmine,Swaziland,70203.74
399,,1.0,,Tanzania,27262.51
400,20.0,1.0,Jenniferstad,Eritrea,49544.41
401,51.0,1.0,West Eduardotown,Canada,28357.27
402,28.0,0.0,Davisfurt,Saint Kitts and Nevis,66929.03
403,40.0,1.0,Bakerhaven,,75524.78
404,27.0,1.0,Paulshire,Tuvalu,66265.34
405,47.0,1.0,West Jane,El Salvador,55993.68
406,34.0,0.0,Lake Brian,Madagascar,
407,43.0,,Alvaradoport,Bangladesh,31215.88
408,29.0,0.0,Lake Kevin,American Samoa,51015.11
409,52.0,1.0,Richardsonland,,46473.14
410,41.0,0.0,East Sheriville,Moldova,55479.62
411,50.0,1.0,Port Michealburgh,Anguilla,68713.7
412,27.0,0.0,Monicaview,Bangladesh,34191.23
413,49.0,0.0,Katieport,Faroe Islands,51067.54
414,45.0,0.0,East Brittanyville,Taiwan,46693.76
415,33.0,,West Travismouth,Heard Island and McDonald Islands,19345.36
416,29.0,,Leonchester,Israel,
417,20.0,1.0,Ramirezland,Bolivia,38609.2
418,40.0,0.0,Brownton,Bahamas,37713.23
419,39.0,1.0,New Jessicaport,Costa Rica,63764.28
420,43.0,1.0,New Denisebury,Myanmar,41866.55
421,32.0,0.0,Keithtown,Netherlands Antilles,57846.68
422,29.0,1.0,Port Melissastad,Czech Republic,69428.73
423,24.0,1.0,,Iceland,60283.98
425,41.0,1.0,West Melaniefurt,,53167.68
426,45.0,1.0,Millerfort,Kazakhstan,64564.07
427,35.0,1.0,Alexanderview,French Guiana,
428,31.0,0.0,,Tuvalu,28387.42
429,36.0,1.0,Lake Susan,Congo,58849.77
430,,1.0,South Vincentchester,United Kingdom,65963.37
431,37.0,1.0,Williamsmouth,Luxembourg,75180.2
432,33.0,,Taylorport,French Polynesia,
433,29.0,0.0,Williamsport,Papua New Guinea,56759.48
434,31.0,1.0,Emilyfurt,Maldives,46160.63
435,32.0,1.0,East John,,43870.51
436,35.0,,East Deborahhaven,Cook Islands,50439.49
437,43.0,0.0,Port Katelynview,Congo,28028.74
438,36.0,1.0,Paulhaven,Senegal,64238.71
439,39.0,,Elizabethmouth,Myanmar,65816.38
440,42.0,0.0,Lake Jesus,Dominican Republic,
441,27.0,1.0,North Tylerland,Bahrain,38817.4
442,27.0,,Munozberg,Puerto Rico,63976.44
443,36.0,,North Maryland,Chile,37212.54
444,23.0,,,Bolivia,52691.79
445,32.0,0.0,Andrewborough,,65499.93
446,35.0,0.0,New Gabriel,Malaysia,63966.72
447,39.0,1.0,Port Patrickton,,52400.88
448,38.0,1.0,West Julia,Greenland,49111.47
449,40.0,0.0,New Keithburgh,Trinidad and Tobago,41232.89
450,32.0,1.0,Richardsland,Thailand,52140.04
451,34.0,1.0,North Aaronchester,Philippines,60641.09
452,44.0,0.0,Lake Matthewland,Niue,74180.05
453,50.0,0.0,Kevinberg,Afghanistan,51869.87
454,22.0,1.0,Morganfort,Angola,48852.58
455,28.0,0.0,Lovemouth,Egypt,59144.02
456,24.0,0.0,Taylorhaven,Fiji,33951.63
457,34.0,0.0,Jamesville,Portugal,58909.36
458,25.0,,East Toddfort,Austria,49850.52
459,,1.0,,Germany,
460,33.0,0.0,,Panama,69869.66
461,35.0,0.0,Butlerfort,United States of America,48347.64
462,25.0,1.0,Lindaside,Christmas Island,45959.86
463,,1.0,West Chloeborough,Equatorial Guinea,70005.51
464,,1.0,Jayville,Micronesia,51512.66
465,40.0,1.0,,Malta,25598.75
466,45.0,0.0,Masseyshire,Ecuador,49282.87
467,,1.0,Sarahton,Sudan,67240.25
468,52.0,1.0,Ryanhaven,Lao People's Democratic Republic,42136.33
469,45.0,1.0,Lake Deborahburgh,Saint Vincent and the Grenadines,62589.84
470,33.0,1.0,New Williammouth,Switzerland,67384.31
471,35.0,0.0,Port Blake,Spain,25603.93
472,,1.0,West Richard,Turks and Caicos Islands,39616.0
473,47.0,0.0,Brandymouth,Indonesia,28265.81
474,25.0,1.0,,Cook Islands,63879.72
475,36.0,0.0,Port Jessica,Australia,70592.81
476,37.0,0.0,Lake Jasonchester,Finland,
477,24.0,0.0,Pearsonfort,Pakistan,55015.08
478,29.0,0.0,Sellerstown,Ireland,
479,31.0,0.0,,Eritrea,29359.2
480,33.0,1.0,Smithtown,France,71296.67
481,24.0,1.0,Joanntown,Austria,46422.76
482,50.0,1.0,South Peter,Heard Island and McDonald Islands,52802.0
483,41.0,1.0,Port Mitchell,,59243.46
484,28.0,1.0,,Liberia,35350.55
485,22.0,1.0,Lake Jonathanview,Dominican Republic,59677.64
486,40.0,1.0,Alanview,Tonga,70225.6
487,,0.0,Carterport,Lao People's Democratic Republic,65791.17
488,30.0,1.0,New Daniellefort,United States of America,34191.13
489,37.0,0.0,Welchshire,Belgium,51315.38
490,35.0,1.0,Russellville,Indonesia,62790.96
491,40.0,1.0,West Lisa,Croatia,66291.67
492,30.0,0.0,Greentown,Brunei Darussalam,68030.18
493,,0.0,Timothyport,American Samoa,43974.49
494,,1.0,Teresahaven,Netherlands Antilles,49457.48
495,40.0,0.0,Lake Stephenborough,Thailand,33987.27
496,33.0,0.0,Silvaton,,28210.03
497,30.0,1.0,West Michaelstad,French Polynesia,75535.14
498,,0.0,Florestown,Guernsey,49158.5
499,30.0,1.0,New Jay,Isle of Man,39809.69
500,35.0,0.0,North Lisachester,Holy See (Vatican City State),65826.53
501,29.0,1.0,Port Stacy,El Salvador,61172.07
502,39.0,0.0,Jensenton,China,
503,27.0,0.0,North Alexandra,,68333.01
504,37.0,0.0,Rivasland,Macao,70232.95
505,46.0,0.0,Helenborough,Australia,63102.19
506,37.0,0.0,Garnerberg,United States Virgin Islands,51847.26
507,26.0,0.0,North Anaport,Mexico,63580.22
508,37.0,0.0,,Djibouti,47575.44
509,,0.0,South Alexisborough,Cote d'Ivoire,39031.89
510,,1.0,East Jennifer,Mali,70505.06
511,,0.0,Hallfort,Jamaica,
512,41.0,0.0,,Romania,61068.26
513,58.0,0.0,East Breannafurt,Cayman Islands,49090.51
514,33.0,1.0,East Susanland,Gambia,62330.75
515,30.0,0.0,Estesfurt,Algeria,18819.34
516,26.0,1.0,Shirleyfort,,62053.37
517,33.0,1.0,Douglasview,Norfolk Island,61922.06
518,44.0,,South Lisa,Turkey,49525.37
519,41.0,0.0,Kingshire,Guinea,53412.32
520,37.0,1.0,Rebeccamouth,Moldova,
521,32.0,1.0,Brownbury,Greece,43299.63
522,34.0,,South Aaron,American Samoa,47997.75
523,55.0,1.0,North Andrew,Honduras,39131.53
524,,1.0,South Walter,Mongolia,46033.73
525,42.0,0.0,Catherinefort,Ethiopia,65856.74
526,29.0,1.0,East Donna,Ethiopia,54787.37
527,32.0,1.0,East Timothy,Sri Lanka,69562.46
528,43.0,,North Kimberly,Morocco,68447.17
529,,,South Stephanieport,United Arab Emirates,62772.42
530,41.0,,North Isabellaville,Western Sahara,78092.95
531,39.0,0.0,North Aaronburgh,Western Sahara,63649.04
532,21.0,1.0,Port James,Cambodia,60637.62
533,52.0,0.0,Danielview,New Zealand,27241.11
534,34.0,1.0,Port Stacey,Australia,42760.22
535,49.0,,West Kevinfurt,Bulgaria,59457.52
536,42.0,1.0,Lake Jennifer,Libyan Arab Jamahiriya,42907.89
537,51.0,0.0,Reyesfurt,Barbados,46132.18
538,39.0,1.0,West Carmenfurt,French Polynesia,46964.11
539,30.0,,North Stephanieberg,Uruguay,70377.23
540,32.0,1.0,East Valerie,Uruguay,
541,23.0,0.0,Sherrishire,,56457.01
542,26.0,0.0,Port Daniel,Venezuela,67279.06
