Number,Daily Time Spent on Site,Daily Internet Usage,Ad Topic Line,Clicked on Ad
600,43.97,156.97,User-friendly grid-enabled analyzer,1
601,77.25,231.38,Pre-emptive neutral contingency,0
602,74.84,246.44,User-friendly impactful time-frame,0
603,83.53,204.56,Customizable methodical Graphical User Interface,0
604,38.63,222.11,Cross-platform logistical pricing structure,1
605,84.0,136.21,Inverse discrete extranet,1
606,52.13,118.27,Open-source even-keeled database,1
607,71.83,135.48,Diverse background ability,1
608,78.36,,Multi-tiered foreground Graphic Interface,0
609,50.18,127.82,Customizable hybrid system engine,1
610,64.67,138.35,Horizontal incremental website,1
611,69.5,203.84,Front-line systemic capability,0
612,65.22,240.09,Fully-configurable foreground solution,0
613,62.06,116.27,Digitized radical array,1
614,84.29,160.33,Team-oriented transitional methodology,1
615,32.91,181.02,Future-proofed fresh-thinking conglomeration,1
616,39.5,148.19,Operative multi-tasking Graphic Interface,1
617,75.19,245.76,Implemented discrete frame,0
618,76.21,228.94,Ameliorated exuding encryption,0
619,67.76,242.59,Programmable high-level benchmark,0
620,40.01,161.77,Sharable multimedia conglomeration,1
621,52.7,109.34,Team-oriented high-level orchestration,1
622,68.41,259.76,Grass-roots empowering paradigm,0
623,35.55,151.18,Robust object-oriented Graphic Interface,1
624,74.54,219.75,Switchable secondary ability,0
625,,190.08,Open-architected web-enabled benchmark,0
626,87.85,210.27,Compatible scalable emulation,0
627,60.23,151.54,Seamless optimal contingency,1
629,78.17,192.27,Automated mobile model,0
630,67.91,146.8,Re-engineered non-volatile neural-net,1
631,85.77,191.78,Implemented disintermediate attitude,0
632,41.16,,Configurable interactive contingency,1
633,53.54,108.03,Optimized systemic capability,1
634,73.94,236.15,Front-line non-volatile implementation,0
635,63.43,236.75,Ergonomic 24/7 solution,0
636,,241.8,Integrated grid-enabled budgetary management,0
637,70.13,224.98,Profit-focused systemic support,0
639,58.95,131.29,Proactive actuating Graphical User Interface,1
640,35.76,195.07,Versatile optimizing projection,1
641,59.36,,Universal multi-state system engine,1
642,91.1,,Secured intermediate approach,0
643,61.04,149.21,Operative didactic Local Area Network,1
644,74.06,225.99,Phased content-based middleware,0
645,64.63,158.8,Triple-buffered high-level Internet solution,1
646,81.29,219.72,Synergized well-modulated Graphical User Interface,0
647,76.07,235.56,Implemented bottom-line implementation,0
648,75.92,182.65,Monitored context-sensitive initiative,0
649,78.35,253.48,Pre-emptive client-server open system,0
650,,137.97,Seamless bandwidth-monitored knowledge user,1
651,44.33,120.63,Ergonomic empowering frame,1
652,46.43,137.2,Reverse-engineered background Graphic Interface,1
653,66.04,199.76,Synergistic non-volatile analyzer,0
654,84.31,225.87,Object-based optimal solution,0
655,83.66,175.14,Profound dynamic attitude,0
656,81.25,222.35,Enhanced system-worthy toolset,0
657,,224.07,Reverse-engineered dynamic function,0
658,86.53,233.36,Networked responsive application,0
659,76.44,224.2,Distributed intangible database,0
660,52.84,122.31,Multi-tiered mobile encoding,1
661,85.24,182.84,Optional contextually-based flexibility,0
662,74.71,258.06,Proactive local focus group,0
663,82.95,201.29,Customer-focused impactful success,0
664,76.42,223.16,Open-source optimizing parallelism,0
665,,182.11,Organic logistical adapter,1
666,46.28,228.78,Stand-alone eco-centric system engine,1
667,48.26,122.45,User-centric intermediate knowledge user,1
668,71.03,150.77,Programmable didactic capacity,1
669,81.37,215.04,Enhanced regional conglomeration,0
670,58.05,195.54,Total asynchronous architecture,1
671,75.0,230.36,Secured upward-trending benchmark,0
672,,235.97,Customizable value-added project,0
673,52.56,250.36,Integrated interactive support,1
674,,126.44,Reactive impactful challenge,1
675,77.89,201.54,Switchable multi-state success,0
677,89.21,210.53,Fundamental clear-thinking knowledgebase,0
678,49.96,151.94,Multi-layered user-facing parallelism,1
679,77.44,210.39,Front-line incremental access,0
680,82.58,225.23,Open-architected zero administration secured line,0
681,39.36,161.79,Mandatory disintermediate info-mediaries,1
682,47.23,149.8,Implemented context-sensitive Local Area Network,1
683,87.85,153.01,Digitized interactive initiative,0
685,,200.71,Focused multi-state workforce,0
686,44.15,141.96,Proactive secondary monitoring,1
687,43.57,125.2,Front-line upward-trending groupware,1
688,76.83,192.81,Quality-focused 5thgeneration orchestration,0
689,42.06,131.55,Multi-layered secondary software,1
690,,226.69,Total coherent superstructure,0
691,74.27,247.05,Monitored executive architecture,0
692,73.27,216.24,Front-line multi-state hub,0
693,74.58,230.52,Configurable mission-critical algorithm,0
694,77.5,225.34,Face-to-face responsive alliance,0
695,87.16,197.15,Reduced holistic help-desk,0
696,87.16,231.95,Pre-emptive content-based frame,0
697,66.26,179.04,Optional full-range projection,1
698,65.15,117.3,Expanded value-added emulation,1
700,73.49,244.23,Organic 3rdgeneration encryption,0
701,39.19,,Stand-alone empowering benchmark,1
702,80.15,214.49,Monitored intermediate circuit,0
703,86.76,189.91,Object-based leadingedge complexity,0
704,73.88,233.61,Digitized zero-defect implementation,0
705,58.6,197.93,Configurable impactful firmware,0
707,87.27,204.27,Fully-configurable 5thgeneration circuit,1
708,77.65,208.01,Configurable impactful capacity,0
709,76.02,,Distributed leadingedge orchestration,0
710,78.84,217.66,Persistent even-keeled application,0
711,71.33,169.4,Optimized attitude-oriented initiative,1
712,81.9,225.47,Multi-channeled 3rdgeneration model,0
713,46.89,176.78,Polarized mission-critical structure,1
714,77.8,152.94,Virtual executive implementation,1
715,45.44,119.27,Enhanced intermediate standardization,1
716,69.96,214.06,Realigned tangible collaboration,0
717,87.35,158.29,Cloned dedicated analyzer,0
718,49.42,128.0,Ameliorated well-modulated complexity,1
719,71.27,,Quality-focused bi-directional throughput,0
720,49.19,123.08,Versatile solution-oriented secured line,1
721,39.96,,Phased leadingedge budgetary management,1
722,85.01,192.5,Devolved exuding Local Area Network,0
723,68.95,185.85,Front-line bandwidth-monitored capacity,0
724,67.59,113.69,User-centric solution-oriented emulation,1
725,75.71,246.06,Phased hybrid intranet,0
726,43.07,137.63,Monitored zero administration collaboration,1
727,39.47,163.48,Team-oriented systematic installation,1
728,48.22,214.33,Inverse national core,0
729,76.76,230.77,Secured uniform instruction set,0
730,78.74,234.75,Quality-focused zero tolerance matrices,0
731,,225.05,Multi-tiered heuristic strategy,0
732,81.17,231.91,Optimized static archive,0
733,89.66,171.23,Advanced didactic conglomeration,0
734,79.6,227.37,Synergistic discrete middleware,0
735,65.53,190.17,Pre-emptive client-server installation,0
736,61.87,,Multi-channeled attitude-oriented toolset,0
737,83.16,,Decentralized 24hour approach,0
738,44.11,121.24,Organic next generation matrix,1
739,56.57,131.98,Multi-channeled non-volatile website,1
