Number,Daily Time Spent on Site,Daily Internet Usage,Ad Topic Line,Clicked on Ad
51,69.62,202.25,Business-focused encompassing neural-net,0
52,85.4,198.72,Triple-buffered demand-driven alliance,0
53,44.33,,Visionary maximized process improvement,1
54,48.01,,Centralized 24/7 installation,1
55,,196.71,Organized static focus group,0
56,79.94,225.29,Visionary reciprocal circuit,0
57,33.33,193.58,Pre-emptive value-added workforce,1
58,50.33,133.2,Sharable analyzing alliance,1
60,,177.55,Sharable bottom-line solution,0
61,65.19,150.61,Cross-group regional website,1
62,44.98,129.31,Organized global model,1
63,77.63,239.22,Upgradable asynchronous circuit,0
64,41.82,156.36,Phased transitional instruction set,1
65,85.61,183.43,Customer-focused empowering ability,0
66,85.84,192.93,Front-line heuristic data-warehouse,0
67,72.08,169.5,Stand-alone national attitude,0
68,86.06,178.92,Focused upward-trending core,0
69,45.96,141.22,Streamlined cohesive conglomeration,1
70,62.42,198.5,Upgradable optimizing toolset,0
71,,,Synchronized user-facing core,1
72,35.33,200.22,Organized client-driven alliance,1
73,75.74,215.25,Ergonomic multi-state structure,0
74,78.53,131.72,Synergized multimedia emulation,1
75,46.13,139.01,Customer-focused optimizing moderator,1
76,69.01,222.63,Advanced full-range migration,0
77,55.35,153.17,De-engineered object-oriented protocol,1
78,33.21,167.07,Polarized clear-thinking budgetary management,1
79,38.46,145.98,Customizable 6thgeneration knowledge user,1
80,64.1,215.93,Seamless object-oriented structure,0
81,49.81,120.06,Seamless real-time array,1
82,82.73,,Grass-roots impactful system engine,0
83,56.14,113.53,Devolved tangible approach,1
84,55.13,111.71,Customizable executive software,1
85,78.11,209.25,Progressive analyzing attitude,0
86,73.46,222.75,Innovative executive encoding,0
87,56.64,115.91,Down-sized uniform info-mediaries,1
88,68.94,138.71,Streamlined next generation implementation,1
89,70.79,184.1,Distributed tertiary system engine,0
90,57.76,105.15,Triple-buffered scalable groupware,1
91,77.51,200.55,Total 5thgeneration encoding,0
92,52.7,118.6,Integrated human-resource encoding,1
93,57.7,109.07,Phased dynamic customer loyalty,1
94,56.89,109.29,Open-source coherent policy,1
95,69.9,138.35,Down-sized modular intranet,1
96,55.79,149.67,Pre-emptive content-based focus group,1
97,70.03,227.72,Versatile 4thgeneration system engine,0
98,50.08,125.85,Ergonomic full-range time-frame,1
99,43.67,166.29,Automated directional function,1
100,72.84,238.63,Progressive empowering alliance,0
101,,154.02,Versatile homogeneous capacity,1
102,39.94,156.3,Function-based optimizing protocol,1
103,,158.22,Up-sized secondary software,1
104,79.71,211.65,Seamless holistic time-frame,0
105,41.49,169.18,Persevering reciprocal firmware,1
106,63.6,235.28,Centralized logistical secured line,0
107,89.91,194.23,Innovative background conglomeration,0
109,,202.16,Polarized 6thgeneration info-mediaries,0
110,80.49,229.12,Balanced heuristic approach,0
111,72.23,241.03,Focused 24hour implementation,0
112,42.39,150.99,De-engineered mobile infrastructure,1
113,,135.18,Customer-focused upward-trending contingency,1
114,74.02,210.54,Operative system-worthy protocol,0
116,63.24,235.78,Future-proofed holistic superstructure,1
117,71.0,211.87,Extended systemic policy,0
118,46.13,123.64,Horizontal hybrid challenge,1
119,69.0,,Virtual composite model,0
120,76.99,244.34,Switchable mobile framework,0
122,61.88,,Balanced actuating moderator,1
123,84.45,207.18,Customer-focused transitional strategy,1
124,88.97,,Advanced web-enabled standardization,1
125,86.19,210.26,Pre-emptive executive knowledgebase,0
126,49.58,231.94,Self-enabling holistic process improvement,0
127,77.65,212.79,Horizontal client-driven hierarchy,0
128,37.75,225.24,Polarized dynamic throughput,1
129,62.33,127.11,Devolved zero administration intranet,1
130,79.57,230.93,User-friendly asymmetric info-mediaries,0
131,80.31,,Cross-platform regional task-force,1
132,,206.98,Polarized bandwidth-monitored moratorium,0
134,67.36,233.56,Future-proofed grid-enabled implementation,0
135,,175.37,Down-sized well-modulated archive,1
136,41.67,132.55,Realigned zero tolerance emulation,1
137,,176.73,Versatile transitional monitoring,1
138,75.7,215.44,Profound zero administration instruction set,0
139,43.49,127.83,User-centric intangible task-force,1
140,,160.03,Enhanced system-worthy application,1
141,38.37,140.46,Multi-layered user-facing paradigm,1
142,38.52,137.28,Customer-focused 24/7 concept,1
143,71.89,172.81,Function-based transitional complexity,0
144,75.8,146.19,Progressive clear-thinking open architecture,0
145,83.86,190.25,Up-sized executive moderator,0
146,,163.0,Re-contextualized optimal service-desk,1
147,55.6,124.38,Fully-configurable neutral open system,1
148,83.67,234.26,Upgradable system-worthy array,0
149,69.08,210.6,Ergonomic client-driven application,0
150,37.47,,Realigned content-based leverage,1
151,56.04,128.95,Decentralized real-time circuit,1
152,70.92,,Polarized modular function,1
153,49.78,,Enterprise-wide client-driven contingency,1
154,68.61,150.29,Diverse modular interface,1
155,58.18,176.28,Polarized analyzing concept,0
156,78.54,172.1,Multi-channeled asynchronous open system,0
157,37.0,158.22,Function-based context-sensitive secured line,1
158,65.4,247.31,Adaptive 24hour Graphic Interface,0
159,79.52,183.48,Automated coherent flexibility,0
161,44.64,127.01,Up-sized incremental encryption,1
162,41.73,202.18,Sharable dedicated Graphic Interface,1
163,80.46,,Digitized zero administration paradigm,0
164,75.55,159.24,Managed grid-enabled standardization,1
165,,195.31,Networked foreground definition,0
166,82.68,222.77,Re-engineered exuding frame,0
167,72.01,251.0,Horizontal multi-state interface,0
168,75.83,,Diverse stable circuit,0
169,41.28,140.39,Universal 24/7 implementation,1
170,34.66,194.83,Customer-focused multi-tasking Internet solution,1
171,66.18,143.42,Vision-oriented contextually-based extranet,1
172,86.06,219.72,Extended local methodology,0
173,59.59,104.78,Re-engineered demand-driven capacity,1
174,86.69,198.56,Customer-focused attitude-oriented instruction set,0
175,43.77,138.55,Synergized hybrid time-frame,1
177,80.23,196.23,Secured clear-thinking middleware,0
178,74.41,163.05,Right-sized value-added initiative,0
179,63.36,137.43,Centralized tertiary pricing structure,1
180,71.74,227.56,Multi-channeled reciprocal artificial intelligence,0
181,60.72,105.69,Synergized context-sensitive database,1
182,72.04,199.43,Realigned systematic function,0
183,44.57,133.17,Adaptive context-sensitive application,1
184,85.86,208.23,Networked high-level structure,0
185,39.85,,Profit-focused dedicated utilization,1
186,,168.34,Stand-alone tangible moderator,1
187,62.95,157.04,Polarized tangible collaboration,1
188,67.58,255.61,Focused high-level conglomeration,0
189,85.56,210.46,Advanced modular Local Area Network,0
190,46.88,,Virtual scalable secured line,1
191,46.31,153.98,Front-line fault-tolerant intranet,1
192,77.95,233.65,Inverse asymmetric instruction set,0
194,39.86,145.85,Total 5thgeneration standardization,1
195,50.08,123.91,Sharable grid-enabled matrix,1
197,60.7,110.57,Monitored object-oriented Graphic Interface,1
198,43.67,143.79,Cloned analyzing artificial intelligence,1
199,,254.05,Persistent homogeneous framework,0
200,71.86,116.53,Face-to-face even-keeled website,1
201,44.78,137.24,Extended context-sensitive monitoring,1
202,78.57,,Exclusive client-driven model,0
203,73.41,201.26,Profound executive flexibility,0
204,77.05,191.14,Reduced bi-directional strategy,0
205,66.4,214.42,Digitized heuristic solution,0
206,69.35,252.77,Seamless 4thgeneration contingency,0
209,69.78,218.79,Multi-layered non-volatile Graphical User Interface,0
210,58.22,120.9,User-friendly client-server instruction set,1
211,76.9,212.67,Synchronized multimedia model,0
213,59.51,140.83,Assimilated fault-tolerant hub,1
214,40.15,134.88,Exclusive disintermediate task-force,1
215,76.81,217.85,Managed zero tolerance concept,0
216,41.89,163.38,Compatible systemic function,1
217,76.87,,Configurable fault-tolerant monitoring,0
218,67.28,155.8,Future-proofed coherent hardware,1
219,81.98,229.22,Ameliorated upward-trending definition,0
220,,151.95,Front-line tangible alliance,1
221,61.57,125.94,Progressive 24hour forecast,1
222,,111.94,Self-enabling optimal initiative,1
223,34.87,200.23,Configurable logistical Graphical User Interface,1
224,,,Virtual bandwidth-monitored initiative,1
225,77.88,254.57,Multi-tiered human-resource structure,0
227,49.95,136.59,Cloned object-oriented benchmark,1
228,60.94,154.97,Fundamental fault-tolerant neural-net,1
229,89.15,,Phased zero administration success,0
230,78.7,133.99,Compatible intangible customer loyalty,1
231,57.35,119.84,Distributed 3rdgeneration definition,1
232,34.86,154.75,Pre-emptive cohesive budgetary management,1
233,70.68,199.08,Configurable multi-state utilization,0
234,76.06,201.04,Diverse multi-tasking parallelism,0
235,66.67,228.03,Horizontal content-based synergy,0
236,46.77,136.4,Multi-tiered maximized archive,1
237,62.42,143.94,Diverse executive groupware,1
238,78.32,239.52,Synergized cohesive array,1
239,37.32,199.25,Versatile dedicated software,1
240,40.42,133.9,Stand-alone reciprocal synergy,1
241,76.77,123.51,Universal even-keeled analyzer,1
242,65.65,158.05,Up-sized tertiary contingency,0
243,74.32,128.17,Monitored real-time superstructure,1
244,73.27,234.75,Streamlined analyzing initiative,0
246,53.68,115.26,Operative stable moderator,1
247,85.84,192.85,Up-sized 6thgeneration moratorium,0
248,85.03,204.52,Expanded clear-thinking core,0
249,70.44,178.75,Polarized attitude-oriented superstructure,0
250,81.22,223.09,Networked coherent interface,0
251,39.96,,Enhanced homogeneous moderator,1
252,57.05,269.96,Seamless full-range website,1
253,42.44,168.27,Profit-focused attitude-oriented task-force,1
254,62.2,161.16,Cross-platform multimedia algorithm,1
255,76.7,222.25,Open-source coherent monitoring,0
256,61.22,119.03,Streamlined logistical secured line,1
257,84.54,204.02,Synchronized stable complexity,0
258,46.08,164.63,Synergistic value-added extranet,1
259,56.7,123.13,Progressive non-volatile neural-net,1
260,81.03,,Persevering tertiary capability,0
262,40.06,138.68,Organized contextually-based customer loyalty,1
263,83.47,226.11,Total directional approach,0
264,73.84,121.05,Programmable uniform productivity,1
265,74.65,212.56,Robust transitional ability,0
266,60.25,,De-engineered fault-tolerant database,1
267,59.21,144.62,Managed disintermediate matrices,1
268,43.02,125.22,Configurable bottom-line application,1
269,84.04,244.55,Self-enabling didactic pricing structure,0
270,70.66,120.95,Versatile scalable encryption,1
271,70.58,136.94,Proactive next generation knowledge user,1
272,72.44,230.14,Customizable tangible hierarchy,0
273,40.17,171.31,Visionary asymmetric encryption,1
274,79.15,203.23,Intuitive explicit conglomeration,0
275,44.49,168.0,Business-focused real-time toolset,1
276,73.04,221.79,Organic contextually-based focus group,0
277,76.28,254.34,Right-sized asynchronous website,0
278,68.88,179.58,Advanced 5thgeneration capability,0
279,73.1,,Universal asymmetric archive,0
280,47.66,156.54,Devolved responsive structure,1
281,87.3,216.87,Triple-buffered regional toolset,0
283,81.37,,Business-focused responsive website,0
284,81.67,196.76,Visionary analyzing structure,0
285,46.37,144.27,De-engineered solution-oriented open architecture,1
286,,,Customizable modular Internet solution,1
287,40.67,133.18,Stand-alone encompassing throughput,1
288,,237.39,Customizable zero-defect matrix,0
289,47.51,130.41,Managed well-modulated collaboration,1
290,75.15,212.87,Universal global intranet,0
291,56.01,,Re-engineered real-time success,1
292,82.87,213.36,Front-line fresh-thinking open system,0
293,45.05,141.36,Digitized contextually-based product,1
294,60.53,167.22,Organic interactive support,1
295,50.52,171.62,Function-based stable alliance,1
296,84.71,,Reactive responsive emulation,0
297,55.2,159.46,Exclusive zero tolerance alliance,1
298,81.61,228.76,Enterprise-wide local matrices,0
299,71.55,163.99,Inverse next generation moratorium,0
301,73.95,,Persevering even-keeled help-desk,0
302,72.07,,Grass-roots eco-centric instruction set,0
303,80.39,214.74,Fully-configurable incremental Graphical User Interface,0
304,65.8,231.49,Expanded radical software,0
305,,250.0,Mandatory 3rdgeneration moderator,0
306,52.62,176.52,Enterprise-wide foreground emulation,1
307,39.25,152.36,Customer-focused incremental system engine,1
308,77.56,130.83,Right-sized multi-tasking solution,1
309,33.52,165.56,Vision-oriented optimizing middleware,1
310,79.81,178.85,Proactive context-sensitive project,1
311,84.79,214.53,Managed eco-centric encoding,0
312,82.7,231.07,Visionary multi-tasking alliance,0
314,,161.16,Extended interactive model,1
315,76.56,,Universal bi-directional extranet,0
316,69.74,243.37,Enhanced maximized access,0
317,75.55,169.4,Upgradable even-keeled challenge,1
318,,250.35,Synchronized national infrastructure,0
319,84.29,232.54,Re-contextualized systemic time-frame,0
320,73.89,110.68,Horizontal national architecture,1
321,75.84,,Reactive bi-directional workforce,0
322,73.38,236.19,Horizontal transitional challenge,0
323,,186.37,Re-engineered neutral success,0
324,62.06,105.0,Adaptive contextually-based methodology,1
325,51.5,135.31,Configurable dynamic adapter,1
326,90.97,180.77,Multi-lateral empowering throughput,0
327,86.78,170.13,Fundamental zero tolerance solution,0
328,66.18,243.61,Proactive asymmetric definition,0
329,84.33,240.95,Pre-emptive zero tolerance Local Area Network,0
330,36.87,195.91,Self-enabling incremental collaboration,1
331,34.78,,Exclusive even-keeled moratorium,1
332,76.84,231.59,Reduced incremental productivity,0
333,67.05,220.92,Realigned scalable standardization,0
334,41.47,219.79,Secured scalable Graphical User Interface,1
335,80.71,200.58,Team-oriented context-sensitive installation,0
336,80.09,214.08,Pre-emptive systematic budgetary management,0
337,56.3,135.24,Fully-configurable high-level implementation,1
338,79.36,245.78,Profound maximized workforce,0
339,86.38,,Cross-platform 4thgeneration focus group,0
340,38.94,,Optional mission-critical functionalities,1
341,87.26,184.03,Multi-layered tangible portal,0
342,75.32,233.6,Reduced mobile structure,0
343,74.38,220.05,Enhanced zero tolerance Graphic Interface,0
344,65.9,,De-engineered tertiary secured line,0
345,36.31,168.92,Reverse-engineered well-modulated capability,1
346,72.23,115.35,Integrated coherent pricing structure,1
347,88.12,230.91,Realigned next generation projection,0
348,83.97,205.5,Reactive needs-based instruction set,0
349,61.09,131.68,User-friendly well-modulated leverage,1
350,65.77,,Function-based fault-tolerant model,0
351,81.58,199.39,Decentralized needs-based analyzer,0
352,37.87,188.56,Phased analyzing emulation,1
353,,178.51,Multi-layered fresh-thinking process improvement,0
354,60.91,184.94,Upgradable directional system engine,1
355,74.49,237.34,Persevering eco-centric flexibility,0
356,73.71,211.38,Inverse local hub,0
357,78.19,228.81,Triple-buffered needs-based Local Area Network,0
358,79.54,217.68,Centralized multi-state hierarchy,0
359,74.87,126.97,Public-key non-volatile implementation,1
360,87.09,,Synergized coherent interface,0
361,37.45,167.86,Horizontal high-level concept,1
362,49.84,111.59,Reduced multimedia project,1
363,51.38,158.56,Object-based modular functionalities,1
364,,207.87,Polarized multimedia system engine,0
365,38.91,150.8,Versatile reciprocal structure,1
366,,110.93,Upgradable multi-tasking initiative,1
367,79.72,193.8,Configurable tertiary budgetary management,0
369,69.11,231.48,Face-to-face mission-critical definition,0
370,71.9,140.15,Inverse zero tolerance customer loyalty,1
371,72.45,195.36,Centralized 24hour synergy,0
372,77.07,261.02,Face-to-face analyzing encryption,0
373,74.62,217.79,Self-enabling even-keeled methodology,0
374,82.07,,Function-based optimizing extranet,0
375,58.6,113.7,Organic asynchronous hierarchy,1
377,79.44,206.79,Public-key zero-defect analyzer,0
378,41.73,144.71,Proactive client-server productivity,1
379,73.19,203.74,Cloned incremental matrices,0
380,77.6,197.33,Open-architected system-worthy task-force,0
381,89.0,222.26,Devolved regional moderator,0
382,69.2,123.8,Balanced value-added database,1
383,67.56,125.45,Seamless composite budgetary management,1
384,81.11,248.19,Total cohesive moratorium,0
385,80.22,224.58,Integrated motivating neural-net,0
386,43.63,123.25,Exclusive zero tolerance frame,1
387,77.66,168.15,Operative scalable emulation,0
388,74.63,235.99,Enhanced asymmetric installation,0
389,49.67,153.69,Face-to-face reciprocal methodology,1
390,80.59,224.23,Robust responsive collaboration,0
391,83.49,190.75,Polarized logistical hub,0
392,44.46,132.66,Intuitive zero-defect framework,1
393,68.1,227.73,Reactive composite project,0
394,63.88,136.85,Upgradable even-keeled hardware,1
395,78.83,,Future-proofed responsive matrix,0
396,,216.0,Programmable empowering middleware,0
397,80.51,200.28,Robust dedicated system engine,0
398,62.26,202.77,Public-key mission-critical core,0
399,66.99,124.44,Operative actuating installation,1
400,71.05,204.22,Self-enabling asynchronous knowledge user,0
401,42.05,174.55,Configurable 24/7 hub,1
402,50.52,219.69,Versatile responsive knowledge user,1
403,76.24,,Managed impactful definition,0
404,77.29,201.24,Grass-roots 4thgeneration forecast,0
405,35.98,165.52,Focused 3rdgeneration pricing structure,1
406,84.95,230.36,Mandatory dedicated data-warehouse,0
407,39.34,148.93,Proactive radical support,1
408,87.23,202.12,Re-engineered responsive definition,0
409,,117.35,Profound optimizing utilization,1
410,81.58,248.16,Cloned explicit middleware,0
411,56.34,139.02,Multi-channeled mission-critical success,1
412,48.73,142.04,Versatile content-based protocol,1
413,51.68,258.62,Seamless cohesive conglomeration,1
414,35.34,152.86,De-engineered actuating hierarchy,1
415,48.09,180.42,Balanced motivating help-desk,1
416,78.68,208.05,Inverse high-level capability,0
418,,108.15,Sharable optimal capacity,1
419,86.63,209.64,Face-to-face multimedia success,0
420,41.18,129.25,Enterprise-wide incremental Internet solution,1
421,71.03,120.85,Advanced systemic productivity,1
422,,217.1,Customizable mission-critical adapter,0
423,77.14,184.88,Horizontal heuristic synergy,0
424,60.7,,Multi-tiered multi-state moderator,0
425,34.3,160.74,Re-contextualized reciprocal interface,1
426,83.71,220.48,Organized demand-driven knowledgebase,0
427,53.38,120.06,Total local synergy,1
428,,129.33,User-friendly bandwidth-monitored attitude,1
429,43.59,132.31,Re-engineered context-sensitive knowledge user,1
430,,120.75,Total user-facing hierarchy,1
431,54.43,154.74,Balanced contextually-based pricing structure,1
432,81.99,,Inverse bi-directional knowledge user,0
433,60.53,123.28,Networked even-keeled workforce,1
434,84.69,231.85,Right-sized transitional parallelism,0
435,88.72,211.87,Customer-focused system-worthy superstructure,0
436,88.89,218.8,Balanced 4thgeneration success,0
437,69.58,255.07,Cross-group value-added success,1
438,85.23,212.92,Visionary client-driven installation,0
439,83.55,221.18,Switchable well-modulated infrastructure,0
440,56.66,139.42,Upgradable asymmetric emulation,1
441,56.39,248.12,Configurable tertiary capability,0
442,76.24,214.42,Monitored dynamic instruction set,0
443,,110.25,Robust web-enabled attitude,1
444,78.18,167.67,Customer-focused full-range neural-net,0
445,46.04,147.92,Universal transitional Graphical User Interface,1
446,,236.87,User-centric intangible contingency,0
447,36.44,147.64,Configurable disintermediate throughput,1
448,53.14,,Automated web-enabled migration,1
449,32.84,171.72,Triple-buffered 3rdgeneration migration,1
450,73.72,256.4,Universal contextually-based system engine,0
451,38.1,214.38,Optional secondary access,1
452,,218.22,Quality-focused scalable utilization,0
453,51.87,119.65,Team-oriented dynamic forecast,1
454,77.69,169.88,Horizontal heuristic support,0
455,43.41,160.73,Customer-focused zero-defect process improvement,1
456,55.92,145.08,Focused systemic benchmark,1
457,80.67,239.76,Seamless impactful info-mediaries,0
458,83.42,183.42,Advanced heuristic firmware,0
459,82.12,201.15,Fully-configurable client-driven customer loyalty,1
460,66.17,238.45,Cross-group neutral synergy,0
461,43.01,127.37,Organized 24/7 middleware,1
462,80.05,219.94,Networked stable open architecture,0
463,64.88,129.8,Customizable systematic service-desk,1
464,79.82,223.28,Function-based directional productivity,0
465,48.03,134.6,Networked stable array,1
466,32.99,177.46,Phased full-range hardware,1
467,74.88,175.17,Organized empowering policy,0
468,36.49,196.61,Object-based system-worthy superstructure,1
469,88.04,,Profound explicit hardware,0
470,,151.12,Self-enabling multimedia system engine,1
471,82.38,159.6,Polarized analyzing intranet,1
472,,149.2,Vision-oriented attitude-oriented Internet solution,1
473,65.59,121.81,Digitized disintermediate ability,1
474,65.65,224.92,Intuitive explicit firmware,0
475,43.84,167.42,Public-key real-time definition,1
476,,216.57,Monitored content-based implementation,0
477,78.37,207.27,Quality-focused zero-defect budgetary management,0
478,81.46,231.54,Intuitive fresh-thinking moderator,0
479,47.48,141.34,Reverse-engineered 24hour hardware,1
480,75.15,219.49,Synchronized zero tolerance product,0
481,78.76,219.98,Reactive interactive protocol,0
482,44.96,132.71,Focused fresh-thinking Graphic Interface,1
484,39.76,196.83,Integrated maximized service-desk,1
485,57.11,,Self-enabling tertiary challenge,0
486,,187.76,Decentralized foreground infrastructure,0
487,,213.38,Quality-focused hybrid frame,0
488,,129.88,Realigned reciprocal framework,1
489,46.2,119.3,Distributed maximized ability,1
490,66.88,,Polarized bifurcated array,1
491,83.97,158.42,Progressive asynchronous adapter,0
492,76.56,213.75,Business-focused high-level hardware,0
493,35.49,159.77,Fully-configurable holistic throughput,1
494,80.29,244.87,Ameliorated contextually-based collaboration,0
495,50.19,117.3,Progressive uniform budgetary management,1
496,59.12,124.54,Synergistic stable infrastructure,1
497,59.88,193.63,Reverse-engineered content-based intranet,0
498,59.7,120.25,Expanded zero administration attitude,1
499,67.8,117.75,Team-oriented 6thgeneration extranet,1
500,81.59,223.16,Managed disintermediate capability,0
501,81.1,216.49,Front-line dynamic model,0
502,41.7,126.95,Innovative regional structure,1
503,73.94,173.49,Function-based incremental standardization,0
504,58.35,132.63,Universal asymmetric workforce,1
505,51.56,124.85,Business-focused client-driven forecast,1
506,79.81,253.17,Realigned global initiative,0
507,,228.7,Business-focused maximized complexity,0
508,,105.94,Open-source global strategy,1
509,66.12,113.8,Stand-alone motivating moratorium,1
510,80.47,,Grass-roots multimedia policy,0
511,77.05,236.64,Upgradable local migration,0
512,49.99,121.07,Profound bottom-line standardization,1
513,80.3,173.43,Managed client-server access,1
514,79.36,234.72,Cross-platform directional intranet,0
515,57.86,,Horizontal modular success,1
516,70.29,231.37,Vision-oriented multi-tasking success,0
517,84.53,215.18,Optional multi-state hardware,0
518,59.13,106.04,Upgradable heuristic system engine,1
519,,250.03,Future-proofed modular utilization,0
520,42.94,130.4,Synergistic dynamic orchestration,1
521,84.81,233.93,Multi-layered stable encoding,0
522,82.79,132.08,Team-oriented zero-defect initiative,1
523,59.22,126.39,Polarized 5thgeneration matrix,1
524,35.0,151.25,Fully-configurable context-sensitive Graphic Interface,1
525,46.61,136.18,Progressive intermediate throughput,1
526,63.26,120.46,Customizable holistic archive,1
527,79.16,202.9,Compatible intermediate concept,0
528,67.94,128.16,Assimilated next generation firmware,1
529,79.91,230.18,Total zero administration software,0
